Sample.ID,Class,X405,X435,X450,X470,X505,X525,X570,X590,X630,X645,X660,X700,X850,X870,X890,X910,X940,X970,StdDev.405,StdDev.435,StdDev.450,StdDev.470,StdDev.505,StdDev.525,StdDev.570,StdDev.590,StdDev.630,StdDev.645,StdDev.660,StdDev.700,StdDev.850,StdDev.870,StdDev.890,StdDev.910,StdDev.940,StdDev.970
b2_60a,60,5.891359,7.885553,9.891465,12.95998,14.75619,13.88316,11.654,19.57432,30.82026,34.69577,37.48371,51.65602,49.56549,47.65631,44.94667,39.98993,38.67803,32.77756,0.8750278,1.451778,1.927719,2.52285,2.834286,2.736041,2.390376,3.522552,4.459587,4.435544,4.43991,3.971689,3.376644,3.424883,3.593636,3.386492,3.391673,3.204603
b2_60b,60,5.830029,7.783737,9.83746,13.13999,14.70258,13.80659,11.73323,19.06534,30.05958,33.99619,36.77213,50.96473,49.98762,48.10641,45.40545,40.32901,38.97559,32.91159,0.8165613,1.409884,1.946651,2.698809,2.968703,2.866005,2.575705,3.718635,4.563124,4.586277,4.6434,4.546982,3.856529,3.853643,3.93703,3.584687,3.558436,3.211736
b2_60c,60,6.022484,7.943434,10.09668,13.67288,14.93912,14.01474,12.11147,18.72317,29.10282,33.00141,35.77634,50.27807,49.73941,47.86355,45.14059,40.09783,38.77496,32.80885,0.7964959,1.366513,1.877699,2.563184,2.806236,2.723908,2.487329,3.460049,4.092612,4.061351,4.079989,3.733806,3.240307,3.292838,3.480248,3.257389,3.256227,3.046617
b2_60d,60,5.904467,7.660282,9.627772,12.87567,14.30743,13.40598,11.35009,18.33041,28.97077,32.83901,35.61312,50.18047,48.82013,46.91463,44.18877,39.29808,38.00348,32.21689,0.7773777,1.331339,1.80944,2.446369,2.691167,2.607821,2.349019,3.351225,3.996884,3.949984,3.960138,3.617598,3.257276,3.31284,3.492822,3.280425,3.279696,3.065967
b2_60e,60,5.988223,7.963151,10.09527,13.53466,15.00929,14.0857,12.01237,19.042,29.85989,33.72686,36.41394,50.26212,49.52744,47.66448,44.96169,39.94429,38.61231,32.63442,0.8753186,1.456061,2.005149,2.770239,3.01434,2.912883,2.661005,3.705944,4.571379,4.591328,4.625472,4.289042,3.717596,3.782378,3.950266,3.692191,3.681249,3.397
b2_70a,70,5.750705,7.454088,9.257102,12.08959,13.886,13.0588,10.71425,18.91451,30.16081,34.00109,36.798,51.0683,48.4689,46.53612,43.8685,39.07379,37.83146,32.17929,0.778481,1.204206,1.621256,2.187484,2.490799,2.386162,2.028129,3.222669,4.360017,4.389169,4.414677,3.962852,3.616229,3.629635,3.659914,3.441625,3.437311,3.212899
b2_70b,70,5.749914,7.351531,9.229257,12.48168,13.49471,12.64023,10.80779,16.94581,26.74389,30.57856,33.24383,47.20216,47.76997,45.95052,43.33854,38.52735,37.26673,31.62204,0.677447,1.153605,1.610388,2.26008,2.506904,2.438389,2.233859,3.474058,4.552517,4.639367,4.767593,4.826427,3.643136,3.62319,3.634055,3.421282,3.419588,3.19304
b2_70c,70,5.800409,7.383068,9.182884,12.18516,13.57836,12.74843,10.6661,17.70328,27.87605,31.65497,34.42629,49.04444,47.53938,45.6202,42.94996,38.21446,36.98787,31.43573,0.7328932,1.178751,1.619284,2.233079,2.521033,2.432908,2.120633,3.292803,4.260448,4.240535,4.247559,3.780647,3.249763,3.269386,3.317953,3.157421,3.173677,3.021479
b2_70d,70,5.82041,7.529949,9.425163,12.51057,14.12713,13.26623,11.01009,18.76519,29.71811,33.55971,36.35046,50.63971,48.74211,46.82455,44.14956,39.2943,38.04294,32.32634,0.8313544,1.310958,1.785064,2.472013,2.746212,2.638576,2.324913,3.414396,4.4583,4.429714,4.403336,3.867098,3.562017,3.583162,3.617384,3.40059,3.409394,3.227676
b2_70e,70,5.816812,7.475582,9.400616,12.66253,13.82652,12.95645,10.99159,17.4112,27.28394,31.06505,33.72861,47.69072,47.78456,45.94059,43.31031,38.51417,37.26819,31.63668,0.7552336,1.210592,1.670719,2.322778,2.541371,2.45643,2.214204,3.262232,4.066336,4.088175,4.139131,3.903823,3.25092,3.268519,3.334194,3.206439,3.226487,3.118273
