Sample_ID,Class,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X70,X71,X72,X73,X74,X75,X76,X77,X78,X79,X80,X81,X82,X83,X84,X85,X86,X87,X88,X89,X90,X91,X92,X93,X94,X95,X96,X97,X98,X99,X100,X101
M2_13134,0,59614,817930,936160,64613,0,221704,0,18157,121411,2140827,0,28815,349108,167057,2025929,221419,0,12890,111929,20869,0,60774,17151,90918,434782,73504,201798,73865,803055,62284,190488,443928,0,0,0,25474,0,0,0,124490,402993,1751509,80640,23768,29384640,0,13177,19638,0,0,16289,71500,5847004,0,149085,360820,483435,136068,111383,107566,50137,809076,0,173884,0,250534,76517,204419,51184,0,114291,27849,337560,3125664,5317540,742160,79950,290170,75756,71248,9401,265473,35602,38853,73046,0,413517,0,25475,0,0,153134,26161,78888,0,12541,491421,0,25092,21518,0
M3_13134,0,57975,871937,897968,61795,0,201376,0,18404,126986,1984118,0,21865,285937,127271,1840171,195372,0,12242,105290,17928,0,65070,18597,96183,493150,64188,185513,71519,877748,56734,200697,387538,0,0,0,21797,0,0,0,131432,366909,1960825,69515,25541,29610830,0,10021,15892,0,0,16443,69247,4952153,0,146160,362099,587783,130325,116003,119283,57025,954575,0,854415,0,312827,90659,230027,56438,0,148432,26534,406277,4215369,6425635,769508,94044,430740,87308,83475,11863,347280,46818,42980,138294,0,2402978,0,79055,0,0,201155,35648,117967,0,15647,784912,20159,32492,42932,0
M4_13134,0,57968,942036,786516,68421,0,301701,0,27569,362295,2181264,0,46957,559314,226824,1217971,171100,0,14508,125661,34519,0,62662,18154,74818,365679,46247,202802,54095,676072,58739,162444,923179,0,0,0,27254,0,0,0,307259,270055,1697707,81347,24694,25688569,0,11629,22632,0,52840,21872,78857,5947883,0,194048,392956,523050,236266,120465,133801,64517,829739,0,185573,0,220859,81026,233605,56853,0,153488,31297,315584,3473919,4494560,841516,86509,299103,103261,88283,9982,294328,37679,39332,112448,0,407337,0,33732,0,0,150565,24577,110128,0,16514,572786,0,32354,29916,0
M5_13134,0,56337,780693,1073915,111583,0,463290,0,28939,232302,2323945,0,42207,313824,252990,1483785,187903,0,12305,131386,34238,0,53119,16999,80252,372200,56173,183165,51338,707803,57616,129211,496935,0,0,0,27432,0,0,0,182189,352073,1660734,111821,25796,23425502,0,21260,25182,0,38205,24147,101097,5194644,0,169083,393111,463911,179315,117704,104642,63590,676336,0,173882,0,231122,67366,232173,56718,0,112821,27108,296655,2920969,4049293,707539,92247,244909,84109,90955,7612,216926,37888,41902,87215,0,289710,0,31223,0,0,132195,23613,74242,0,18836,416166,0,30539,26461,38917
M1_13141,0,58978,1497389,607520,120755,0,196592,0,65677,142929,2834753,0,57457,320834,197104,701428,177584,0,25940,339973,37918,0,79993,15214,63200,471978,50241,139648,36891,508198,89308,134284,379607,0,0,0,17718,0,0,0,19847,619229,1430134,13457,18512,16504224,0,18720,34891,0,129494,16492,0,5155011,0,202178,653200,451292,122936,160946,109329,36891,636574,0,120701,0,131684,58877,216392,60282,0,155508,28219,290298,3287258,2279554,620534,101254,206897,78513,46845,19076,210847,33969,42956,32937,0,90639,0,15615,0,0,97821,27072,104050,0,0,432047,20442,16900,16985,0
M2_13141,0,60559,1043411,627661,107522,0,207053,0,65710,134862,2700205,0,47291,369324,184389,714250,178890,0,19358,248877,33407,0,75825,14677,59748,435500,41311,144258,37138,497964,81148,147381,404416,0,0,0,16803,0,0,0,6121,706630,1466030,14308,18852,17856333,0,17377,27553,0,125085,17849,0,5575178,0,241268,781311,442517,121342,212142,113821,35977,707401,0,133289,0,132581,69039,308486,87714,0,165977,30177,273535,3370855,2725813,597571,149504,237028,89553,52407,12589,230774,33857,62956,35767,0,153687,0,11316,0,0,107982,28594,107416,0,0,509227,22986,19461,0,0
M3_13141,0,69420,1764229,1217268,212565,0,247783,0,50822,158683,2683348,0,50170,304616,185348,606741,153311,0,22970,192885,34542,0,82240,15268,69191,475614,43905,129873,37517,580531,95295,141004,264880,0,0,0,16704,0,0,0,5326,674405,1573676,13071,21946,18973812,0,21797,26672,0,106467,17308,0,4641273,0,219744,660413,459873,117065,180453,106229,34934,651535,0,157400,0,133418,62323,256639,73673,0,153724,33583,267276,3288296,2564415,1073194,124004,220830,83545,51822,28204,206980,35776,52959,36577,0,222292,0,23000,0,0,99576,27715,103237,0,10183,468719,27327,20659,23022,0
M4_13141,0,77157,2465329,572044,139774,0,146295,0,32324,123743,2986348,0,43552,349653,203081,602325,157688,0,26343,195578,30193,0,88845,17473,78467,465348,47146,133982,39360,658453,133431,190416,316082,0,0,0,17497,0,0,0,4962,607645,1586580,12615,23079,21293364,0,26315,32471,0,98482,17329,0,4930007,0,233372,683429,482067,170072,195530,130634,41232,770490,0,475967,0,154780,71295,265126,74579,0,172601,62600,301134,3730008,2586546,966456,122532,275029,90882,56590,47733,263892,82023,53826,69951,0,1029565,0,41001,0,0,119623,31203,121938,0,11900,541821,24603,28814,22229,25610
M5_13141,0,83411,3814644,595628,128442,0,129698,0,32491,207932,3110412,0,53482,368625,200427,666990,178813,0,27247,213587,37650,0,80622,17135,66656,464778,55735,139925,35131,514311,109090,124590,344197,0,0,0,16783,0,0,0,8039,620620,1528655,13582,21988,16548397,0,28337,33351,0,76902,17408,0,5424748,0,207809,722902,468150,124962,199802,110699,36685,597860,0,302442,0,116270,63799,260241,74235,0,149424,42620,251882,3244226,2026159,1156137,123556,199423,87190,57852,76987,200879,52622,51299,54421,0,705820,0,25901,0,0,84983,26235,104047,0,10425,443991,21483,30590,21237,22592
M1_13156,0,60514,771459,1321763,53491,45279,277932,66501,24553,226422,1911847,141370,25449,783725,113966,617684,147096,0,130102,142459,17740,20948,58183,31846,67198,422714,43529,252107,45878,503864,43593,111581,297807,0,0,0,17572,0,11301,0,40983,335180,971618,14608,18840,18878292,0,0,0,0,81012,12499,10081,10143626,0,99339,324733,349348,97203,89703,179732,63065,544758,14942,280806,11383,123365,41214,118562,47478,61300,85491,52820,189300,2640981,3244909,2873069,66816,178674,112815,190690,11388,182135,28629,30976,254122,0,57335,0,109053,0,9383,81367,17134,55329,0,12300,340284,46913,22428,20401,0
