Sample ID,Class,405,435,450,470,505,525,570,590,630,645,660,700,850,870,890,910,940,970,StdDev 01,StdDev 02,StdDev 03,StdDev 04,StdDev 05,StdDev 06,StdDev 07,StdDev 08,StdDev 09,StdDev 10,StdDev 11,StdDev 12,StdDev 13,StdDev 14,StdDev 15,StdDev 16,StdDev 17,StdDev 18
X5_13274,2,8.715285,13.86546,18.4448,25.17725,28.35125,26.85226,23.54931,34.33717,50.03685,54.3503,56.89587,67.67784,69.27665,67.7327,65.04673,57.99524,56.62393,49.55827,1.353144,2.375293,2.973369,3.486646,3.854045,3.823383,3.549358,4.410655,4.464921,4.347206,4.340348,4.197995,4.118189,4.131923,4.141416,3.798237,3.876935,3.875035
X1_13283,2,8.274261,12.77492,16.63066,22.03391,26.54685,25.10565,20.73235,35.88498,56.59429,61.025,63.4491,71.68369,68.00436,66.38005,64.00822,57.36551,55.9577,49.0901,1.538936,2.656878,3.371789,4.101556,4.631707,4.533512,4.108769,5.141359,5.241383,5.049694,4.974278,4.430708,4.155176,4.194012,4.303526,4.130142,4.254416,4.435028
X2_13283,2,8.184704,12.56928,16.25554,21.37242,25.87787,24.48278,20.11498,36.39729,57.74081,62.12645,64.56992,72.45136,66.81358,65.1228,62.67949,56.1624,54.7618,47.91313,1.573123,2.749975,3.50257,4.272065,4.768901,4.663569,4.213916,5.109665,5.038515,4.859935,4.831022,4.497492,4.28759,4.321304,4.429926,4.252331,4.375376,4.531483
X3_13283,2,8.085729,12.43305,16.09918,21.15927,25.673,24.29134,19.95894,36.09497,57.3824,61.6901,64.0618,71.84246,66.22193,64.53678,62.06593,55.57168,54.12985,47.24676,1.752378,2.979393,3.795079,4.667384,5.23664,5.105741,4.575104,5.660596,5.745428,5.553499,5.495216,4.994998,4.802936,4.859884,4.984467,4.787445,4.925385,5.073478
X4_13283,2,8.184704,12.56928,16.25554,21.37242,25.87787,24.48278,20.11498,36.39729,57.74081,62.12645,64.56992,72.45136,66.81358,65.1228,62.67949,56.1624,54.7618,47.91313,1.573123,2.749975,3.50257,4.272065,4.768901,4.663569,4.213916,5.109665,5.038515,4.859935,4.831022,4.497492,4.28759,4.321304,4.429926,4.252331,4.375376,4.531483
X5_13283,2,8.158278,12.48366,16.1756,21.3673,25.63307,24.23183,19.97582,34.70717,54.65489,58.97829,61.41574,70.1788,66.54173,64.8298,62.35626,55.72354,54.25846,47.28881,1.436634,2.570495,3.292685,4.023608,4.556912,4.467142,4.026093,5.14659,5.355696,5.160776,5.064981,4.317087,4.059676,4.107599,4.241446,4.120113,4.249084,4.447985
X1_13288,2,8.99112,14.18099,18.33629,23.95474,28.60644,27.16731,22.8259,38.40472,57.99478,62.1383,64.57748,72.88235,68.86664,67.21473,64.72868,57.84185,56.40939,49.52848,1.914961,3.352657,4.156752,4.888024,5.385321,5.290112,4.837734,5.816707,5.768074,5.548514,5.494446,5.048244,4.927204,4.986449,5.071273,4.801994,4.910018,5.016708
X2_13288,2,8.80875,13.73979,17.776,23.32672,27.84568,26.38485,22.04067,37.47452,57.51462,61.79356,64.29526,72.64507,68.32899,66.68731,64.21229,57.33566,55.86155,48.89815,1.809452,3.207775,3.991037,4.705082,5.200234,5.112378,4.662736,5.820507,6.303185,6.126943,6.053875,5.291745,4.956298,5.011297,5.099464,4.847807,4.953975,5.036984
X3_13288,2,8.826246,13.72883,17.68067,23.03288,27.69595,26.25967,21.79135,37.97107,59.10945,63.40625,65.79125,73.35192,68.04571,66.40354,63.95016,57.15794,55.70477,48.78242,1.868897,3.255022,4.055255,4.805083,5.272359,5.178384,4.748668,5.557109,5.30158,5.100522,5.080602,4.847903,4.743846,4.7887,4.866561,4.618181,4.719499,4.844536
X4_13288,2,8.891792,13.95748,17.99653,23.43803,28.12103,26.68798,22.23696,38.18179,58.99963,63.24767,65.62041,73.2921,68.08421,66.47057,63.9924,57.16415,55.70495,48.81171,1.944912,3.378195,4.20142,4.986803,5.482715,5.384855,4.93538,5.85577,5.66615,5.482175,5.458219,5.291229,5.21662,5.262823,5.342097,5.029322,5.141527,5.215494
X5_13288,2,8.943463,13.9657,17.9597,23.3363,28.11657,26.67992,22.11503,38.58933,59.95505,64.2606,66.64632,74.0209,68.11842,66.46033,63.96894,57.10966,55.64492,48.61075,1.845061,3.249771,4.039852,4.781678,5.228058,5.137485,4.728729,5.450683,5.187916,5.046031,5.054083,4.962247,4.892242,4.932512,4.990439,4.703221,4.804846,4.906021
X5_13288_coloured,2,8.943463,13.9657,17.9597,23.3363,28.11657,26.67992,22.11503,38.58933,59.95505,64.2606,66.64632,74.0209,68.11842,66.46033,63.96894,57.10966,55.64492,48.61075,1.845061,3.249771,4.039852,4.781678,5.228058,5.137485,4.728729,5.450683,5.187916,5.046031,5.054083,4.962247,4.892242,4.932512,4.990439,4.703221,4.804846,4.906021
X1_13295,2,8.12871,12.71507,16.44603,21.53419,26.34424,24.94815,19.74933,36.66914,59.00277,63.49101,65.37071,73.02512,67.22137,65.75603,62.73406,56.15622,55.03131,47.64882,1.650562,2.771671,3.499064,4.295224,4.840625,4.709196,4.070648,5.153921,5.397777,5.314261,5.289669,5.235699,5.173563,5.237739,5.274084,4.960294,5.075808,5.043524
X1_13295_coloured,2,8.12871,12.71507,16.44603,21.53419,26.34424,24.94815,19.74933,36.66914,59.00277,63.49101,65.37071,73.02512,67.22137,65.75603,62.73406,56.15622,55.03131,47.64882,1.650562,2.771671,3.499064,4.295224,4.840625,4.709196,4.070648,5.153921,5.397777,5.314261,5.289669,5.235699,5.173563,5.237739,5.274084,4.960294,5.075808,5.043524
X2_13295,2,8.05682,12.639,16.39701,21.54706,26.42528,24.99851,19.69221,37.02962,59.72212,64.20099,66.05981,73.62373,67.71976,66.25723,63.1957,56.59519,55.49815,48.14224,1.591155,2.741145,3.480398,4.283019,4.818959,4.695265,4.062352,5.088135,5.138889,5.005436,4.955122,4.803495,4.84659,4.932714,4.985768,4.777197,4.914993,4.98526
X3_13295,2,8.283357,12.90055,16.71433,21.92863,26.85885,25.42581,20.14355,37.45412,59.98949,64.48695,66.3391,74.05373,68.30994,66.82758,63.79033,57.16951,56.11073,48.82174,1.567025,2.684289,3.415994,4.193026,4.702046,4.583152,3.980633,4.911907,4.952826,4.821353,4.752492,4.537673,4.59059,4.670942,4.727704,4.521596,4.650604,4.695239
X4_13295,2,8.265489,12.83007,16.58675,21.72157,26.55867,25.1305,19.85033,37.12672,59.57272,64.06682,65.95365,73.62737,67.78846,66.31831,63.30646,56.75803,55.65654,48.3375,1.478172,2.55673,3.236439,3.939323,4.386827,4.27576,3.720586,4.569951,4.59665,4.489354,4.441783,4.35867,4.389963,4.473173,4.528851,4.346288,4.472544,4.540921
X5_13295,2,8.11268,12.72731,16.47253,21.59246,26.4247,25.01693,19.80754,36.92602,59.30132,63.80846,65.71302,73.44781,67.63062,66.14349,63.12902,56.55932,55.44265,48.10388,1.607165,2.731894,3.46643,4.258312,4.794878,4.666779,4.042793,5.014715,5.037898,4.888521,4.832455,4.69089,4.717971,4.790758,4.842647,4.651928,4.777106,4.836975
X1_13303,2,7.61137,11.51218,15.05194,20.27875,24.28628,22.84026,18.73207,31.32259,49.9049,54.07903,56.35292,65.62264,65.50071,63.87127,61.44061,54.76328,53.25458,46.19674,1.385067,2.400305,3.083693,3.827643,4.454296,4.351036,3.830465,5.294502,5.868028,5.699787,5.662139,5.081796,4.718474,4.736367,4.806679,4.510234,4.603423,4.659131
X1_13303_coloured,2,7.61137,11.51218,15.05194,20.27875,24.28628,22.84026,18.73207,31.32259,49.9049,54.07903,56.35292,65.62264,65.50071,63.87127,61.44061,54.76328,53.25458,46.19674,1.385067,2.400305,3.083693,3.827643,4.454296,4.351036,3.830465,5.294502,5.868028,5.699787,5.662139,5.081796,4.718474,4.736367,4.806679,4.510234,4.603423,4.659131
X2_13303,2,7.77062,11.51317,15.02733,20.29711,24.2331,22.74237,18.56185,31.363,50.77138,55.00717,57.27655,66.16884,65.42027,63.79847,61.34639,54.72385,53.20188,46.11317,1.297329,2.224963,2.825561,3.45295,4.035748,3.95778,3.473628,4.951199,5.673683,5.486498,5.436456,4.792254,4.367184,4.389003,4.443079,4.123152,4.202292,4.233449
X3_13303,2,7.827084,11.66101,15.31894,20.8507,24.56008,23.05422,19.0514,31.1481,49.46963,53.67237,55.97961,65.38349,65.43349,63.82423,61.3793,54.77258,53.30081,46.3191,1.34102,2.305386,2.914142,3.541071,4.071077,3.996511,3.578547,4.940903,5.588568,5.436793,5.380796,4.86163,4.543797,4.551561,4.591861,4.284026,4.369084,4.39469
